Gene	Ensembl	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HAND1	ENSG00000113196	355.5547447451	-10.8678924357	1.2383800211	-8.7758945157	1.70E-18	2.38E-14
APOE	ENSG00000130203	41354.5770395127	6.3962881021	0.7642452231	8.3694184911	5.79E-17	4.06E-13
SMAD7	ENSG00000101665	101.9377261821	-9.6198862805	1.2071556386	-7.9690521857	1.60E-15	7.47E-12
CNTFR	ENSG00000122756	87.4956192401	10.7384465034	1.386427607	7.7454072964	9.53E-15	3.34E-11
WNT7A	ENSG00000154764	79.1738001321	-9.6648006151	1.3507383843	-7.1551980218	8.36E-13	2.12E-09
RP11-632C17__A.1	ENSG00000230202	71.0054077116	5.0081711622	0.7010386479	7.1439301919	9.07E-13	2.12E-09
APOA4	ENSG00000110244	642.5606825864	7.883798942	1.1100588477	7.1021450423	1.23E-12	2.46E-09
RP11-927P21.7	ENSG00000272398	1008.1750766811	-6.0713684314	0.8645004082	-7.0229792538	2.17E-12	3.81E-09
ODAM	ENSG00000109205	69.5126609298	-9.4817085125	1.3593552361	-6.9751513519	3.06E-12	4.62E-09
SLC38A1	ENSG00000111371	196.2365466944	-8.7196309299	1.2519760315	-6.9646947788	3.29E-12	4.62E-09
NR2F1	ENSG00000175745	65.3667734011	10.3156570354	1.5223693273	6.7760541744	1.24E-11	1.57E-08
BIK	ENSG00000100290	976.8914819031	5.3432458131	0.8047075366	6.6399848019	3.14E-11	3.67E-08
GYPC	ENSG00000136732	128.9608663119	-9.6027319336	1.4682490661	-6.5402608832	6.14E-11	5.41E-08
PANK1	ENSG00000152782	54.5354740165	-7.3202286818	1.1192274795	-6.5404297304	6.13E-11	5.41E-08
FAM151A	ENSG00000162391	9000.263901382	5.459906492	0.8329043312	6.5552624561	5.55E-11	5.41E-08
MFAP5	ENSG00000197614	241.3816699823	6.684930692	1.0250167535	6.5217770041	6.95E-11	5.41E-08
MTRNR2L1	ENSG00000256618	20.2106646999	6.3365772851	0.9699988892	6.5325613828	6.47E-11	5.41E-08
RP11-295D4.7	ENSG00000275512	655.0343292311	6.0862639393	0.933160196	6.5222069754	6.93E-11	5.41E-08
RAB20	ENSG00000139832	162.4946497925	-7.6111143464	1.1719761242	-6.4942571689	8.34E-11	6.16E-08
