"sample_nr","sample_ID","cell_ID","cell_type","smp_ID","CRISPR","embryo","library_ID","alt_cell_ID","read_counts","mapping_rate"
"1","FogA007","WT_C8.8","WT",7,"yes","C8","NFC","CX",100512,73.7
"2","FogA008","WT_C8.9","WT",8,"yes","C8","NFC37","C8.9",5107767,54.3
"3","FogA009","WT_C8.10","WT",9,"yes","C8","NFC38","C8.10",7220869,51.9
"4","FogA010","WT_C8.11","WT",10,"yes","C8","NFC39","C8.11",52045,32.4
"5","FogA011","WT_7.1","WT",11,"no","7","NFC40","7.1",8496788,74.3
"6","FogA012","WT_7.2","WT",12,"no","7","NFC41","7.2",7466063,56.2
"7","FogA013","KO_C9.6","KO",13,"yes","C9","NFC42","C9.6",553950,75.7
"8","FogA014","WT_C9.7","WT",14,"yes","C9","NFC43","C9.7",4310452,62.5
"9","FogA015","WT_8.1_B","WT",15,"no","8","NFC44","8.1",8446593,60.5
"10","FogA016","WT_8.2","WT",16,"no","8","NFC45","8.2",4376661,69.3
"11","FogA017","WT_8.3","WT",17,"no","8","NFC46","8.3",6524843,67.8
"12","FogA018","WT_8.4","WT",18,"no","8","NFC47","8.4",8650064,71.3
"13","FogA019","WT_8TE.1","WT",19,"no","8","NFC48","8.TE_1",7747143,66.5
"14","FogA020","WT_5TE.1","WT",20,"no","5","NFC49","5.TE_1",8520013,65.2
"15","FogA021","HET_C12.1","HET",21,"yes","C12","NFC50","C12.1",9068027,64.9
"16","FogA022","WT_C12.2","WT",22,"yes","C12","NFC51","C12.2",9647196,55.1
"17","FogA024","WT_C12.4","WT",24,"yes","C12","NFC53","C12.4",4753505,38.4
"18","FogA025","KO_C12.5","KO",25,"yes","C12","NFC54","C12.5",1158527,8.6
"19","FogA026","WT_C12.6","WT",26,"yes","C12","NFC55","C12.6",5472673,68.1
"20","FogA027","WT_5TE.2","WT",27,"no","5","NFC56","5.TE_2",7699356,66.7
"21","FogA028","WT_8.6","WT",28,"no","8","NFC57","8.6",7398686,68.2
"22","FogA029","KO_C8.12","KO",29,"yes","C8","NFC58","C8.12",8140269,71.4
"23","FogA030","WT_7TE.3","WT",30,"no","7","NFC59","7TE.3",9443362,72
